40 40
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,22,21,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,20,22,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,22,19,12,13,13,14,13,13,13,13,13,13,13,13,13,14,13,13,13,15,19,22,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,22,19,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,19,22,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,22,19,22,23,23,6,23,23,23,23,23,23,23,23,23,6,23,23,23,22,19,22,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,22,19,22,23,23,7,23,23,23,23,23,23,23,23,23,7,23,23,23,22,19,22,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,22,19,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,19,22,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,22,19,22,6,23,23,23,23,23,23,23,23,23,23,23,23,23,6,23,22,19,22,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,23,22,19,22,7,23,23,23,23,23,23,23,23,23,23,23,23,23,7,23,22,19,22,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,22,22,19,22,22,22,22,22,22,23,23,23,23,23,23,23,22,22,22,22,22,19,22,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,22,21,16,17,17,17,17,20,22,23,6,23,23,23,23,6,22,21,17,17,17,18,22,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,22,19,12,13,13,14,8,19,22,23,7,23,23,23,23,7,22,19,12,13,13,15,22,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,22,19,22,22,22,22,22,19,22,23,23,23,22,22,22,23,22,19,22,22,22,22,22,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,22,19,22,23,23,23,22,19,22,22,22,22,28,27,29,22,22,19,17,17,20,22,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,22,19,22,23,23,23,22,16,17,17,17,17,3,4,5,17,17,18,13,15,19,22,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,22,19,22,23,23,23,22,12,13,13,13,14,1,26,2,13,13,15,22,22,19,22,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,22,19,22,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,23,22,19,22,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,22,19,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,19,22,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,22,19,22,23,23,6,23,23,23,23,23,23,23,23,23,23,23,6,23,22,19,22,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,22,19,22,23,23,7,23,23,23,23,23,23,23,23,23,23,23,7,23,22,19,22,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,22,19,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,19,22,23,23,23,23,23,23,23,23,23,
23,23,23,23,23,23,23,23,23,22,19,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,19,22,23,23,23,23,23,23,23,23,23,
