20 20
8,9,9,9,9,9,9,23,9,9,9,9,9,23,9,9,9,9,9,10
17,15,1,1,2,1,1,17,1,1,1,1,1,14,1,1,2,1,16,14
17,5,5,5,5,5,5,17,7,5,5,5,5,14,5,5,5,5,5,14
17,5,5,7,5,5,5,17,5,5,5,7,5,14,5,5,7,5,5,14
17,5,5,5,5,5,7,18,5,5,5,5,5,18,5,5,5,5,5,14
17,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,5,14
17,5,5,7,7,5,5,5,5,5,5,5,5,5,7,5,5,5,5,14
17,5,5,5,7,7,5,5,5,7,5,7,5,5,5,5,5,5,5,14
17,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,14
17,5,5,5,5,5,5,7,5,5,5,5,5,5,7,5,7,5,5,14
17,5,7,5,5,5,5,5,5,5,5,5,7,5,7,5,5,5,5,14
17,5,5,5,5,5,5,5,5,5,7,5,5,5,8,9,22,5,5,14
17,5,5,5,5,5,5,5,5,5,5,5,5,5,14,2,16,7,5,14
17,5,5,5,5,5,5,5,5,5,7,5,5,5,14,7,5,5,5,14
17,5,7,5,5,5,5,5,5,5,5,5,5,5,14,7,5,5,7,14
17,5,5,5,5,5,7,5,5,5,5,5,5,5,14,5,5,5,5,14
17,5,5,5,5,7,7,5,5,5,5,5,7,5,14,5,6,5,5,14
17,5,5,5,5,5,5,5,5,5,5,5,5,7,14,5,7,5,5,14
11,12,12,12,12,12,12,12,12,12,12,12,12,12,25,12,12,12,12,13
15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,16
