20 20
8,9,9,9,9,9,9,23,9,9,9,9,9,9,9,9,9,9,9,10
17,15,1,1,2,1,1,21,1,1,1,1,1,1,1,1,2,1,16,14
17,5,5,5,5,5,5,18,7,5,5,5,5,5,5,5,5,5,5,14
17,5,3,7,5,5,5,5,5,5,5,7,5,5,5,5,7,5,5,14
17,5,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,14
24,9,9,9,9,9,23,9,9,9,5,5,20,10,5,5,7,5,5,14
17,15,2,1,2,16,14,15,2,16,5,5,18,14,7,5,5,5,5,14
17,5,5,5,7,5,21,5,5,5,5,7,5,14,5,5,5,5,5,14
17,5,3,5,5,5,18,5,5,7,5,5,5,14,5,5,5,5,7,14
17,5,5,5,5,5,5,7,5,20,10,5,5,14,7,5,7,5,5,14
17,5,7,5,5,5,5,5,5,18,14,5,7,14,7,5,5,5,5,14
24,9,9,22,5,5,19,5,5,7,14,5,5,14,7,7,20,12,12,26
17,15,1,16,5,5,14,5,5,5,14,5,5,14,5,7,15,2,16,14
17,5,5,5,5,5,14,5,7,5,14,5,5,14,5,7,5,5,5,14
17,5,7,5,5,5,14,5,5,5,14,7,5,14,5,7,5,5,7,14
17,5,5,5,5,5,14,5,5,5,14,5,5,14,5,5,5,5,5,14
17,5,6,5,7,5,14,7,3,5,14,5,7,14,5,5,6,5,5,14
17,5,5,5,5,7,14,5,5,5,14,5,5,14,5,5,7,5,5,14
11,12,12,12,12,12,25,12,12,12,13,5,5,11,12,12,12,12,12,13,
15,2,2,2,2,2,2,2,2,2,16,7,5,15,2,2,2,2,2,16
